ENDUSE,District,Weight,Value,Item_Count,Date
"FOODS, FEEDS, AND BEVERAGES","PORTLAND, ME",4353666,184410357,8291,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","ST. ALBANS, VT",0,51891441,3059,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","BOSTON, MA",18490619,109523527,3203,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","PROVIDENCE, RI",0,2573902,3,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","OGDENSBURG, NY",0,200684083,14298,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","BUFFALO, NY",227017,279167848,24312,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","NEW YORK CITY, NY",740413314,1772375436,63254,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","PHILADELPHIA, PA",419584979,891585777,17238,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","BALTIMORE, MD",100667211,346314325,7947,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","NORFOLK, VA",78164314,202299579,6035,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","WILMINGTON, NC",3171819,13314192,255,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","CHARLESTON, SC",38911303,125365702,2605,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","SAVANNAH, GA",126414965,667014869,8433,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","TAMPA, FL",91063771,184839076,2729,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","MOBILE, AL",59034415,27276232,1280,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","NEW ORLEANS, LA",43967394,175342966,1768,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","LAREDO, TX",1867964,1514300089,85802,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","EL PASO, TX",1659144,164924325,6149,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","SAN DIEGO, CA",54459895,350564999,28546,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","NOGALES, AZ",71182,526788372,46704,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","LOS ANGELES, CA",489544749,1181444169,34697,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","SAN FRANCISCO, CA",188155937,495568079,14204,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","HONOLULU, HI",5567704,14609399,1006,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","COLUMBIA-SNAKE, OR",8427705,15845233,475,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","SEATTLE, WA",86093592,390721515,19500,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","ANCHORAGE, AK",1090172,1832484,22,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","GREAT FALLS, MT",6648645,257875671,8954,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","PEMBINA, ND",0,232491076,11308,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","MINNEAPOLIS, MN",7896667,26228840,832,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","DULUTH, MN",0,51088102,1711,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","MILWAUKEE, WI",0,7987504,32,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","DETROIT, MI",18516406,574543750,44019,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","CHICAGO, IL",77285845,263316329,8351,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","CLEVELAND, OH",19561752,81232966,2090,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","ST. LOUIS, MO",21806967,65425925,1855,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","SAN JUAN, PR",45270715,94822141,2415,2019-01-01
"FOODS, FEEDS, AND BEVERAGES",U.S. VIRGIN ISLANDS,1766644,1889547,75,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","MIAMI, FL",262165913,635603014,27541,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","HOUSTON-GALVESTON, TX",183312397,436756313,10939,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","WASHINGTON, DC",13692,4396964,348,2019-01-01
"FOODS, FEEDS, AND BEVERAGES","DALLAS-FORT WORTH, TX",4916023,19772887,1023,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"PORTLAND, ME",3614586,398964401,9116,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"ST. ALBANS, VT",0,275736466,18380,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"BOSTON, MA",43797453,653687983,8225,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"PROVIDENCE, RI",0,128901635,79,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"OGDENSBURG, NY",18273,1258704886,47987,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"BUFFALO, NY",2238372,993546321,52452,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"NEW YORK CITY, NY",681101014,4273587018,94431,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"WILMINGTON, NC",88926953,259672528,9812,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"PHILADELPHIA, PA",91763763,1745376866,15086,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"BALTIMORE, MD",286643043,922815078,12927,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"NORFOLK, VA",221601401,528764303,20782,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"CHARLESTON, SC",327532132,1009844421,31010,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"SAVANNAH, GA",497486389,1610265388,63282,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"TAMPA, FL",124781764,554827146,7527,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"MOBILE, AL",84153934,1107468300,6505,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"NEW ORLEANS, LA",357889195,3480460946,45409,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"PORT ARTHUR, TX",24633547,985791720,240,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"LAREDO, TX",4040453,1387649098,105976,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"EL PASO, TX",4734452,260858973,39053,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"SAN DIEGO, CA",186817,214107008,28632,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"NOGALES, AZ",958410,162480770,7197,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"LOS ANGELES, CA",780089980,3405578861,106293,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"SAN FRANCISCO, CA",257977793,1685339244,21854,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"COLUMBIA-SNAKE, OR",33563453,209285666,3258,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"SEATTLE, WA",154807483,1489997306,50430,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"ANCHORAGE, AK",2286933,61030372,3275,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"HONOLULU, HI",62944288,182194219,892,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"GREAT FALLS, MT",24637409,1158644415,24596,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"PEMBINA, ND",34732,786641427,29331,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"MINNEAPOLIS, MN",40126259,547891037,8719,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"DULUTH, MN",15843,745476323,17317,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"MILWAUKEE, WI",200211,7533537,637,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"DETROIT, MI",28858241,2474126820,127455,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"CHICAGO, IL",229514643,2762132324,72106,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"CLEVELAND, OH",156446016,900914830,49913,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"MIAMI, FL",201015610,543906978,15155,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"ST. LOUIS, MO",94797686,601623947,14100,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"SAN JUAN, PR",266790714,670210552,3390,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,U.S. VIRGIN ISLANDS,161611,124849831,18,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"HOUSTON-GALVESTON, TX",619596997,3995641066,36157,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"WASHINGTON, DC",12259,26080697,2417,2019-01-01
INDUSTRIAL SUPPLIES AND MATERIALS,"DALLAS-FORT WORTH, TX",72545945,357896928,23541,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","PORTLAND, ME",305322,153911662,851,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","ST. ALBANS, VT",0,158173216,8272,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","BOSTON, MA",9537160,539253814,22766,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","PROVIDENCE, RI",891,1329117,25,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","OGDENSBURG, NY",8244,323802191,15450,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","BUFFALO, NY",1756035,476261002,31124,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","NEW YORK CITY, NY",140515922,3100818025,98831,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","PHILADELPHIA, PA",20173580,493071702,25221,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","BALTIMORE, MD",36474549,641762537,11622,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","NORFOLK, VA",76867138,956042074,22669,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","WILMINGTON, NC",22940926,363881604,14561,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","CHARLESTON, SC",111773093,1414238908,35365,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","SAVANNAH, GA",186763783,3261522735,79778,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","TAMPA, FL",30173940,326457949,6261,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","MOBILE, AL",16472353,380130268,6311,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","NEW ORLEANS, LA",61112007,3748899904,123214,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","PORT ARTHUR, TX",0,20239030,7,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","NOGALES, AZ",456525,561146401,31393,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","LAREDO, TX",4567971,4000889211,198640,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","EL PASO, TX",7999469,3271842561,118351,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","SAN DIEGO, CA",534233,1097836208,57334,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","LOS ANGELES, CA",366592308,7173162121,176688,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","SAN FRANCISCO, CA",70976164,2885448580,63371,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","COLUMBIA-SNAKE, OR",6387050,145996336,4589,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","SEATTLE, WA",58278164,1663757922,37640,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","ANCHORAGE, AK",0,1098710823,20995,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","HONOLULU, HI",1334123,11811749,237,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","GREAT FALLS, MT",19266994,393733502,11814,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","PEMBINA, ND",361134,277064645,11869,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","MINNEAPOLIS, MN",20017835,332443736,13214,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","DULUTH, MN",11794,25579535,783,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","MILWAUKEE, WI",5134160,46962267,3816,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","DETROIT, MI",14129392,1555465059,66377,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","CHICAGO, IL",126756238,4622642482,167786,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","CLEVELAND, OH",63180769,3654942970,176567,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","ST. LOUIS, MO",40611115,378330290,15558,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","SAN JUAN, PR",6745370,113226017,2751,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE",U.S. VIRGIN ISLANDS,8230,145864,6,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","MIAMI, FL",27987288,712249392,20222,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","HOUSTON-GALVESTON, TX",135314478,2124483476,36313,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","WASHINGTON, DC",9286,198365237,7395,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE","DALLAS-FORT WORTH, TX",45344364,1625778501,47233,2019-01-01
"CAPITAL GOODS, EXCEPT AUTOMOTIVE",VESSELS UNDER OWN POWER,0,126201,2,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","PORTLAND, ME",4599,37045071,3315,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","ST. ALBANS, VT",0,13697273,1080,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","BOSTON, MA",3340796,86232581,959,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","PROVIDENCE, RI",0,856405536,17871,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","OGDENSBURG, NY",0,153347169,7239,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","BUFFALO, NY",430134,652894178,26998,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","NORFOLK, VA",43753119,274227361,7598,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","NEW YORK CITY, NY",92401996,1407235647,44930,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","PHILADELPHIA, PA",15918524,380821340,11767,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","BALTIMORE, MD",15942594,1111213024,9739,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","WILMINGTON, NC",6345616,36572000,1756,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CHARLESTON, SC",71530313,579518966,23546,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","SAVANNAH, GA",104104363,1625940918,33424,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","TAMPA, FL",16229471,1117241324,12473,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","MOBILE, AL",27985396,260110687,7957,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","NEW ORLEANS, LA",38208268,527385495,21871,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","PORT ARTHUR, TX",0,0,1,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","LAREDO, TX",1576864,6179509652,294138,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","EL PASO, TX",3581166,1409991675,106638,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","SAN DIEGO, CA",606050,1204189171,18863,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","NOGALES, AZ",32562,368166634,17757,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","LOS ANGELES, CA",224940201,2604859510,74890,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","SAN FRANCISCO, CA",27154294,871624455,13928,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","COLUMBIA-SNAKE, OR",5189192,754650542,1700,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","SEATTLE, WA",27202531,555738531,10815,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","ANCHORAGE, AK",19114,6596518,619,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","HONOLULU, HI",60355,23563166,137,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","GREAT FALLS, MT",2142583,56608595,2133,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","PEMBINA, ND",8526,94864822,3344,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","MINNEAPOLIS, MN",5578351,52434676,2295,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","DULUTH, MN",0,651253,128,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","MILWAUKEE, WI",194688,4598166,287,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","DETROIT, MI",20995526,4156161556,210139,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CHICAGO, IL",61372929,600060209,28067,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CLEVELAND, OH",52438712,589621247,23443,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","ST. LOUIS, MO",15973337,72056769,4743,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","HOUSTON-GALVESTON, TX",23476816,553768894,16821,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","SAN JUAN, PR",4696735,98511543,1171,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES",U.S. VIRGIN ISLANDS,56790,135666,20,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","MIAMI, FL",13615264,134148493,7541,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","WASHINGTON, DC",6796,13339645,828,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","DALLAS-FORT WORTH, TX",32029519,159866053,11673,2019-01-01
CONSUMER GOODS,"PORTLAND, ME",431411,42377795,2672,2019-01-01
CONSUMER GOODS,"ST. ALBANS, VT",960,50269531,7793,2019-01-01
CONSUMER GOODS,"BOSTON, MA",27496933,484133373,18651,2019-01-01
CONSUMER GOODS,"NEW YORK CITY, NY",582874425,8851006176,468570,2019-01-01
CONSUMER GOODS,"PROVIDENCE, RI",2495,11500547,745,2019-01-01
CONSUMER GOODS,"OGDENSBURG, NY",446,466330595,47119,2019-01-01
CONSUMER GOODS,"BUFFALO, NY",911040,425922475,43328,2019-01-01
CONSUMER GOODS,"PHILADELPHIA, PA",29654742,1634694923,34904,2019-01-01
CONSUMER GOODS,"BALTIMORE, MD",56644367,490272192,25661,2019-01-01
CONSUMER GOODS,"NORFOLK, VA",165333332,1027404613,61452,2019-01-01
CONSUMER GOODS,"WILMINGTON, NC",36869546,952537280,20184,2019-01-01
CONSUMER GOODS,"CHARLESTON, SC",109779437,794851273,49809,2019-01-01
CONSUMER GOODS,"SAVANNAH, GA",381593301,3344158503,163461,2019-01-01
CONSUMER GOODS,"TAMPA, FL",54191390,378498324,33207,2019-01-01
CONSUMER GOODS,"MOBILE, AL",27709250,406494751,21524,2019-01-01
CONSUMER GOODS,"NEW ORLEANS, LA",81459301,2396002636,84049,2019-01-01
CONSUMER GOODS,"PORT ARTHUR, TX",0,1705754,2,2019-01-01
CONSUMER GOODS,"LAREDO, TX",1101570,1598106114,161129,2019-01-01
CONSUMER GOODS,"EL PASO, TX",4189793,422123935,50920,2019-01-01
CONSUMER GOODS,"SAN DIEGO, CA",2276375,822508891,61923,2019-01-01
CONSUMER GOODS,"NOGALES, AZ",9875317,124397651,13625,2019-01-01
CONSUMER GOODS,"LOS ANGELES, CA",1385580345,12013750888,676450,2019-01-01
CONSUMER GOODS,"SAN FRANCISCO, CA",115073497,913511722,86954,2019-01-01
CONSUMER GOODS,"COLUMBIA-SNAKE, OR",8347471,86843118,7155,2019-01-01
CONSUMER GOODS,"SEATTLE, WA",173923230,1419226879,96186,2019-01-01
CONSUMER GOODS,"ANCHORAGE, AK",42059,68164968,5946,2019-01-01
CONSUMER GOODS,"HONOLULU, HI",2555816,19696050,4683,2019-01-01
CONSUMER GOODS,"GREAT FALLS, MT",26594658,249248816,16163,2019-01-01
CONSUMER GOODS,"PEMBINA, ND",666,158314937,9125,2019-01-01
CONSUMER GOODS,"MINNEAPOLIS, MN",26640402,216930418,13975,2019-01-01
CONSUMER GOODS,"DULUTH, MN",25395,57632146,5470,2019-01-01
CONSUMER GOODS,"MILWAUKEE, WI",998414,21545934,1214,2019-01-01
CONSUMER GOODS,"ST. LOUIS, MO",64144554,444279343,27078,2019-01-01
CONSUMER GOODS,"DETROIT, MI",10163636,1087083420,70874,2019-01-01
CONSUMER GOODS,"CHICAGO, IL",172872806,6712493973,118065,2019-01-01
CONSUMER GOODS,"CLEVELAND, OH",97493942,2683515427,144303,2019-01-01
CONSUMER GOODS,"SAN JUAN, PR",19027602,1106683365,7154,2019-01-01
CONSUMER GOODS,U.S. VIRGIN ISLANDS,32640,939791,52,2019-01-01
CONSUMER GOODS,"MIAMI, FL",90775468,1549604732,96602,2019-01-01
CONSUMER GOODS,"HOUSTON-GALVESTON, TX",142314982,679638274,40858,2019-01-01
CONSUMER GOODS,"WASHINGTON, DC",645134,397236542,3958,2019-01-01
CONSUMER GOODS,"DALLAS-FORT WORTH, TX",101164287,1747189795,62158,2019-01-01
OTHER GOODS,"PORTLAND, ME",15978,75132797,811,2019-01-01
OTHER GOODS,"ST. ALBANS, VT",7402,21835660,1393,2019-01-01
OTHER GOODS,"BOSTON, MA",516778,69007493,1942,2019-01-01
OTHER GOODS,"PROVIDENCE, RI",17690,54295,3,2019-01-01
OTHER GOODS,"OGDENSBURG, NY",0,88866049,4824,2019-01-01
OTHER GOODS,"BUFFALO, NY",267313,187403431,9098,2019-01-01
OTHER GOODS,"NEW YORK CITY, NY",6456525,825405036,10950,2019-01-01
OTHER GOODS,"PHILADELPHIA, PA",1130595,77764797,1755,2019-01-01
OTHER GOODS,"BALTIMORE, MD",943174,55412499,266,2019-01-01
OTHER GOODS,"NORFOLK, VA",1751321,48101185,869,2019-01-01
OTHER GOODS,"WILMINGTON, NC",241879,293973852,928,2019-01-01
OTHER GOODS,"CHARLESTON, SC",1474800,46313276,691,2019-01-01
OTHER GOODS,"SAVANNAH, GA",4859121,283111783,5327,2019-01-01
OTHER GOODS,"TAMPA, FL",396406,30962377,724,2019-01-01
OTHER GOODS,"MOBILE, AL",551078,113317008,160,2019-01-01
OTHER GOODS,"NEW ORLEANS, LA",1157746,590533682,23902,2019-01-01
OTHER GOODS,"PORT ARTHUR, TX",0,10071780,5,2019-01-01
OTHER GOODS,"LAREDO, TX",18409,194495534,14686,2019-01-01
OTHER GOODS,"EL PASO, TX",42010,62111496,5768,2019-01-01
OTHER GOODS,"SAN DIEGO, CA",350,151307399,9642,2019-01-01
OTHER GOODS,"COLUMBIA-SNAKE, OR",469937,14564081,572,2019-01-01
OTHER GOODS,"NOGALES, AZ",6291,115302042,6000,2019-01-01
OTHER GOODS,"LOS ANGELES, CA",4607851,380703754,9093,2019-01-01
OTHER GOODS,"SAN FRANCISCO, CA",3016454,178119082,6452,2019-01-01
OTHER GOODS,"SEATTLE, WA",1863494,248569226,7273,2019-01-01
OTHER GOODS,"ANCHORAGE, AK",0,67018922,2557,2019-01-01
OTHER GOODS,"HONOLULU, HI",1304,12015106,59,2019-01-01
OTHER GOODS,"GREAT FALLS, MT",150076,136598542,4837,2019-01-01
OTHER GOODS,"PEMBINA, ND",0,121297257,4362,2019-01-01
OTHER GOODS,"MINNEAPOLIS, MN",539179,16797091,843,2019-01-01
OTHER GOODS,"DULUTH, MN",0,2201080,61,2019-01-01
OTHER GOODS,"MILWAUKEE, WI",4272,3394700,109,2019-01-01
OTHER GOODS,"DETROIT, MI",264803,463320641,21136,2019-01-01
OTHER GOODS,"CHICAGO, IL",2622859,1026185510,7969,2019-01-01
OTHER GOODS,"CLEVELAND, OH",1518773,457109737,19099,2019-01-01
OTHER GOODS,"ST. LOUIS, MO",2634196,76564099,1813,2019-01-01
OTHER GOODS,"SAN JUAN, PR",416709,10693199,343,2019-01-01
OTHER GOODS,U.S. VIRGIN ISLANDS,6790,35252,5,2019-01-01
OTHER GOODS,"MIAMI, FL",7741078,397708005,6869,2019-01-01
OTHER GOODS,"HOUSTON-GALVESTON, TX",4418158,184665945,2685,2019-01-01
OTHER GOODS,"WASHINGTON, DC",26,21457240,421,2019-01-01
OTHER GOODS,"DALLAS-FORT WORTH, TX",197176,293289968,4636,2019-01-01
OTHER GOODS,LOW VALUE,0,1512373821,222,2019-01-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","PORTLAND, ME",0,34873940,3252,2019-02-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","ST. ALBANS, VT",0,13577647,782,2019-02-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","BOSTON, MA",5038480,66560658,1107,2019-02-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","PROVIDENCE, RI",0,697596622,13799,2019-02-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","OGDENSBURG, NY",0,160829187,6575,2019-02-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","BUFFALO, NY",486397,731654527,30013,2019-02-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","NEW YORK CITY, NY",76764545,1368263268,40028,2019-02-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","PHILADELPHIA, PA",13311227,408300647,10295,2019-02-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","BALTIMORE, MD",19084569,1349696672,10867,2019-02-01
"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","NORFOLK, VA",43717339,270276200,7083,2019-02-01
